f1_name,f2_name,f1_str,f2_str,f1_tds,f2_tds,f1_subs,f2_subs,f1_pass,f2_pass,weight_class,method,finisher,round_num,time,user_agent
"
              Arnold Allen
            ","
              Nik Lentz
            ",63,49,0,0,0,0,0,0,"
        Featherweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Justine Kish
            ","
              Lucie Pudilova
            ",62,29,1,0,0,0,1,0,"
        Women's Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Jon Jones
            ","
              Dominick Reyes
            ",104,116,2,0,0,0,0,0,"
        Light Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        5
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Valentina Shevchenko
            ","
              Katlyn Chookagian
            ",40,17,3,0,0,0,2,0,"
        Women's Flyweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        3
      ","

        
        1:03
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Justin Tafa
            ","
              Juan Adams
            ",10,7,0,0,0,0,0,0,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        1:59
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Dan Ige
            ","
              Mirsad Bektic
            ",43,17,1,3,0,1,1,6,"
        Featherweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Derrick Lewis
            ","
              Ilir Latifi
            ",20,5,0,3,0,0,0,2,"
        Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Trevin Giles
            ","
              James Krause
            ",71,44,0,1,1,4,3,1,"
        Middleweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Lauren Murphy
            ","
              Andrea Lee
            ",80,104,2,0,0,1,1,0,"
        Women's Flyweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Khaos Williams
            ","
              Alex Morono
            ",10,1,0,0,0,0,0,0,"
        Welterweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        0:27
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Mario Bautista
            ","
              Miles Johns
            ",18,13,0,0,0,0,0,0,"
        Bantamweight","
        
        

        KO/TKO

      ","
        Flying Knee
      ","

        2
      ","

        
        1:41
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Jan Blachowicz
            ","
              Corey Anderson
            ",13,11,0,0,0,0,0,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        3:08
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Diego Sanchez
            ","
              Michel Pereira
            ",25,53,0,2,0,0,0,0,"
        Welterweight","
        
        

        DQ

      ","
        
      ","

        3
      ","

        
        3:09
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Montana De La Rosa
            ","
              Mara Romero Borella
            ",27,23,1,1,1,0,6,0,"
        Women's Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Brok Weaver
            ","
              Kazula Vargas
            ",5,15,0,1,1,0,0,0,"
        Lightweight","
        
        

        DQ

      ","
        
      ","

        1
      ","

        
        4:02
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Ray Borg
            ","
              Rogerio Bontorin
            ",35,9,10,0,0,0,6,0,"
        Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Lando Vannata
            ","
              Yancy Medeiros
            ",99,68,0,0,0,0,0,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Daniel Rodriguez
            ","
              Tim Means
            ",49,41,0,1,1,0,0,0,"
        Welterweight","
        
        

        SUB

      ","
        Guillotine Choke
      ","

        2
      ","

        
        3:37
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              John Dodson
            ","
              Nathaniel Wood
            ",39,46,0,1,0,0,0,0,"
        Bantamweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        3
      ","

        
        0:16
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              JJ Aldrich
            ","
              Lauren Mueller
            ",74,54,1,1,0,0,1,0,"
        Women's Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Dan Hooker
            ","
              Paul Felder
            ",122,110,1,0,0,0,1,0,"
        Lightweight","
        
        

        S-DEC

      ","
        
      ","

        5
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Jimmy Crute
            ","
              Michal Oleksiejczuk
            ",2,3,8,0,1,0,4,0,"
        Light Heavyweight","
        
        

        SUB

      ","
        Kimura
      ","

        1
      ","

        
        3:29
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Xiaonan Yan
            ","
              Karolina Kowalkiewicz
            ",93,38,5,0,0,1,3,0,"
        Women's Strawweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Marcos Rogerio de Lima
            ","
              Ben Sosoli
            ",19,5,0,0,0,0,0,0,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        1:28
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Brad Riddell
            ","
              Magomed Mustafaev
            ",38,28,1,8,0,0,2,0,"
        Lightweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Zubaira Tukhugov
            ","
              Kevin Aguilar
            ",28,9,0,0,0,0,0,0,"
        Featherweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        3:21
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Deiveson Figueiredo
            ","
              Joseph Benavidez
            ",25,46,1,0,1,0,0,0,"
        Flyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        2
      ","

        
        1:54
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Felicia Spencer
            ","
              Zarah Fairn
            ",40,13,1,0,0,0,2,0,"
        Women's Featherweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        3:37
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Magomed Ankalaev
            ","
              Ion Cutelaba
            ",8,5,0,0,0,0,0,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        0:38
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Megan Anderson
            ","
              Norma Dumont
            ",7,5,0,1,0,0,0,0,"
        Women's Featherweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        3:31
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Grant Dawson
            ","
              Darrick Minner
            ",15,4,2,1,2,2,6,0,"
        Featherweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        2
      ","

        
        1:38
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Kyler Phillips
            ","
              Gabriel Silva
            ",89,31,2,2,1,1,4,0,"
        Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Brendan Allen
            ","
              Tom Breese
            ",20,4,0,0,0,0,2,0,"
        Middleweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        4:47
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Marcin Tybura
            ","
              Serghei Spivac
            ",43,26,2,0,0,0,3,0,"
        Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Israel Adesanya
            ","
              Yoel Romero
            ",48,40,0,0,0,0,0,0,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        5
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Weili Zhang
            ","
              Joanna Jedrzejczyk
            ",165,186,1,0,0,0,0,0,"
        Women's Strawweight","
        
        

        S-DEC

      ","
        
      ","

        5
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Beneil Dariush
            ","
              Drakkar Klose
            ",12,15,1,0,2,0,1,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        2
      ","

        
        1:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Neil Magny
            ","
              Jingliang Li
            ",74,16,4,2,0,0,2,0,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Alex Oliveira
            ","
              Max Griffin
            ",40,23,1,2,0,0,2,2,"
        Welterweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Sean O'Malley
            ","
              Jose Quinonez
            ",18,0,0,0,0,0,0,0,"
        Bantamweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        2:02
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Mark Madsen
            ","
              Austin Hubbard
            ",15,41,8,0,0,0,3,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Rodolfo Vieira
            ","
              Saparbeg Safarov
            ",5,5,2,0,1,0,2,0,"
        Middleweight","
        
        

        SUB

      ","
        Arm Triangle
      ","

        1
      ","

        
        2:58
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Charles Oliveira
            ","
              Kevin Lee
            ",43,41,0,2,2,0,0,2,"
        Lightweight","
        
        

        SUB

      ","
        Guillotine Choke
      ","

        3
      ","

        
        0:28
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Gilbert Burns
            ","
              Demian Maia
            ",13,4,0,2,0,0,0,1,"
        Welterweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        2:34
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Renato Moicano
            ","
              Damir Hadzovic
            ",1,1,1,0,1,0,1,0,"
        Lightweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        1
      ","

        
        0:44
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Nikita Krylov
            ","
              Johnny Walker
            ",45,37,3,0,0,0,4,2,"
        Light Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Francisco Trinaldo
            ","
              John Makdessi
            ",55,67,0,0,0,0,0,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Brandon Moreno
            ","
              Jussier Formiga
            ",33,15,0,1,0,1,1,3,"
        Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Randa Markos
            ","
              Ashley Yoder
            ",78,44,0,2,0,0,1,3,"
        Women's Strawweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Rafael Fiziev
            ","
              Alex White
            ",66,55,1,0,0,0,0,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Movsar Evloev
            ","
              Enrique Barzola
            ",71,78,4,1,0,0,0,1,"
        Featherweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Sergei Pavlovich
            ","
              Maurice Greene
            ",20,8,0,0,0,0,0,0,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        2:11
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Loma Lookboonmee
            ","
              Alexandra Albu
            ",99,65,1,1,0,0,0,0,"
        Women's Strawweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Raphael Pessoa
            ","
              Jeff Hughes
            ",39,34,0,0,0,0,0,0,"
        Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Katlyn Chookagian
            ","
              Jennifer Maia
            ",73,58,0,1,0,0,0,1,"
        Women's Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Lyman Good
            ","
              Chance Rencountre
            ",68,23,0,0,0,0,0,0,"
        Welterweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        3
      ","

        
        2:03
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Hakeem Dawodu
            ","
              Julio Arce
            ",55,32,0,1,0,0,0,2,"
        Featherweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Stipe Miocic
            ","
              Daniel Cormier
            ",123,181,1,1,0,0,0,2,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        4
      ","

        
        4:09
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Nate Diaz
            ","
              Anthony Pettis
            ",114,69,1,0,0,1,4,0,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Paulo Costa
            ","
              Yoel Romero
            ",118,125,0,1,0,0,0,0,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Sodiq Yusuff
            ","
              Gabriel Benitez
            ",34,24,0,0,0,0,0,0,"
        Featherweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        4:14
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Derek Brunson
            ","
              Ian Heinisch
            ",81,58,2,0,0,0,1,0,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Karl Roberson
            ","
              Roman Kopylov
            ",43,37,1,0,1,0,1,0,"
        Middleweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        3
      ","

        
        4:01
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              David Zawada
            ","
              Abubakar Nurmagomedov
            ",2,4,0,1,2,0,0,1,"
        Welterweight","
        
        

        SUB

      ","
        Triangle Choke
      ","

        1
      ","

        
        2:50
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Roosevelt Roberts
            ","
              Alexander Yakovlev
            ",28,20,0,3,0,0,3,1,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Pannie Kianzad
            ","
              Jessica-Rose Clark
            ",98,65,0,0,0,0,0,0,"
        Women's Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Davey Grant
            ","
              Grigorii Popov
            ",30,35,6,0,0,0,2,1,"
        Bantamweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Weili Zhang
            ","
              Jessica Andrade
            ",29,4,0,0,0,0,0,0,"
        Women's Strawweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        0:42
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Jingliang Li
            ","
              Elizeu Zaleski dos Santos
            ",59,54,2,0,0,0,0,0,"
        Welterweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        3
      ","

        
        4:51
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Khabib Nurmagomedov
            ","
              Dustin Poirier
            ",22,12,7,0,2,1,5,0,"
        Lightweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        3
      ","

        
        2:06
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Paul Felder
            ","
              Edson Barboza
            ",56,60,0,1,0,0,0,0,"
        Lightweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Islam Makhachev
            ","
              Davi Ramos
            ",43,7,0,0,0,0,0,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Curtis Blaydes
            ","
              Shamil Abdurakhimov
            ",25,3,5,0,0,0,3,0,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Elbow
      ","

        2
      ","

        
        2:22
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Diego Ferreira
            ","
              Mairbek Taisumov
            ",109,51,0,0,0,0,0,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Joanne Calderwood
            ","
              Andrea Lee
            ",101,61,2,3,0,0,1,2,"
        Women's Flyweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Zubaira Tukhugov
            ","
              Lerone Murphy
            ",22,28,6,0,0,2,2,1,"
        Featherweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Justin Gaethje
            ","
              Donald Cerrone
            ",40,17,0,0,0,0,0,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        4:18
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Glover Teixeira
            ","
              Nikita Krylov
            ",43,47,1,2,2,1,4,5,"
        Light Heavyweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Todd Duffee
            ","
              Jeff Hughes
            ",30,16,1,0,0,0,0,0,"
        Heavyweight","
        
        

        CNC

      ","
        
      ","

        1
      ","

        
        4:03
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Tristan Connelly
            ","
              Michel Pereira
            ",64,32,0,2,1,0,3,0,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Uriah Hall
            ","
              Antonio Carlos Junior
            ",34,22,0,3,0,0,1,2,"
        Middleweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Misha Cirkunov
            ","
              Jimmy Crute
            ",6,21,1,0,1,0,4,0,"
        Light Heavyweight","
        
        

        SUB

      ","
        Peruvian Necktie
      ","

        1
      ","

        
        3:38
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Augusto Sakai
            ","
              Marcin Tybura
            ",15,6,0,0,0,0,0,0,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        0:59
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Yair Rodriguez
            ","
              Jeremy Stephens
            ",2,0,0,0,0,0,0,0,"
        Featherweight","
        
        

        CNC

      ","
        
      ","

        1
      ","

        
        0:15
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Carla Esparza
            ","
              Alexa Grasso
            ",44,45,4,0,0,1,1,0,"
        Women's Strawweight","
        
        

        M-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Brandon Moreno
            ","
              Askar Askarov
            ",34,30,1,4,0,0,1,4,"
        Flyweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Irene Aldana
            ","
              Vanessa Melo
            ",125,68,0,0,0,0,0,0,"
        Women's Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Steven Peterson
            ","
              Martin Bravo
            ",49,86,0,2,0,0,0,0,"
        Featherweight","
        
        

        KO/TKO

      ","
        Spinning Back Fist
      ","

        2
      ","

        
        1:31
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Jose Quinonez
            ","
              Carlos Huachin
            ",60,32,2,0,0,0,2,0,"
        Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Jared Cannonier
            ","
              Jack Hermansson
            ",28,20,0,1,0,0,1,1,"
        Middleweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        2
      ","

        
        0:27
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Mark Madsen
            ","
              Danilo Belluardo
            ",22,0,1,0,0,0,1,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        1:12
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Gilbert Burns
            ","
              Gunnar Nelson
            ",30,20,1,0,1,0,1,0,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Ion Cutelaba
            ","
              Khalil Rountree Jr.
            ",15,5,4,0,0,0,1,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Elbows
      ","

        1
      ","

        
        2:35
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Ovince Saint Preux
            ","
              Michal Oleksiejczuk
            ",14,37,1,0,1,0,2,0,"
        Light Heavyweight","
        
        

        SUB

      ","
        Other - Choke
      ","

        2
      ","

        
        2:46
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Nicolas Dalby
            ","
              Alex Oliveira
            ",31,18,1,3,0,0,4,1,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              John Phillips
            ","
              Alen Amedovski
            ",5,2,0,0,0,0,0,0,"
        Middleweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        0:17
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Makhmud Muradov
            ","
              Alessio Di Chirico
            ",54,36,0,0,0,0,0,0,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
