f1_name,f2_name,f1_str,f2_str,f1_tds,f2_tds,f1_subs,f2_subs,f1_pass,f2_pass,weight_class,method,finisher,round_num,time,user_agent
"
              Wellington Turman
            ","
              Markus Perez
            ",48,49,2,0,0,0,1,0,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              James Krause
            ","
              Sergio Moraes
            ",102,41,0,1,0,0,1,1,"
        Welterweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        3
      ","

        
        4:19
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Ricardo Ramos
            ","
              Eduardo Garagorri
            ",10,6,2,0,1,0,1,0,"
        Featherweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        1
      ","

        
        3:57
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Francisco Trinaldo
            ","
              Bobby Green
            ",31,50,1,2,1,0,0,4,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Randy Brown
            ","
              Warlley Alves
            ",16,3,1,3,1,2,1,3,"
        Welterweight","
        
        

        SUB

      ","
        Triangle Choke
      ","

        2
      ","

        
        1:22
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Douglas Silva de Andrade
            ","
              Renan Barao
            ",74,58,0,2,0,0,0,1,"
        Featherweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Ariane Lipski
            ","
              Isabela de Padua
            ",31,15,0,2,1,1,2,0,"
        Women's Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Tracy Cortez
            ","
              Vanessa Melo
            ",79,40,2,0,0,0,1,0,"
        Women's Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Billy Quarantillo
            ","
              Jacob Kilburn
            ",74,3,1,0,5,0,9,0,"
        Featherweight","
        
        

        SUB

      ","
        Triangle Choke
      ","

        2
      ","

        
        3:18
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Bryce Mitchell
            ","
              Matt Sayles
            ",6,2,1,0,1,0,5,0,"
        Featherweight","
        
        

        SUB

      ","
        Other
      ","

        1
      ","

        
        4:20
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Joe Solecki
            ","
              Matt Wiman
            ",56,10,4,0,0,0,6,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Virna Jandiroba
            ","
              Mallory Martin
            ",7,9,3,0,3,0,5,0,"
        Women's Strawweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        2
      ","

        
        1:16
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Makhmud Muradov
            ","
              Trevor Smith
            ",91,39,1,0,1,0,1,0,"
        Middleweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        3
      ","

        
        4:09
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Irene Aldana
            ","
              Ketlen Vieira
            ",26,20,0,0,0,0,0,0,"
        Women's Bantamweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        4:51
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Omari Akhmedov
            ","
              Ian Heinisch
            ",55,53,2,3,0,0,1,0,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Matt Brown
            ","
              Ben Saunders
            ",30,12,2,0,0,4,3,0,"
        Welterweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        2
      ","

        
        4:55
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Chase Hooper
            ","
              Daniel Teymur
            ",20,2,1,0,2,1,2,0,"
        Featherweight","
        
        

        KO/TKO

      ","
        Elbows
      ","

        1
      ","

        
        4:34
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Brandon Moreno
            ","
              Kai Kara-France
            ",91,82,0,0,0,0,0,0,"
        Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Ciryl Gane
            ","
              Tanner Boser
            ",65,32,0,0,0,0,0,0,"
        Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              SeungWoo Choi
            ","
              Suman Mokhtarian
            ",95,33,0,0,0,0,2,0,"
        Featherweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Omar Morales
            ","
              Dong Hyun Ma
            ",32,15,1,0,0,0,3,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Alexandre Pantoja
            ","
              Matt Schnell
            ",34,20,1,0,0,0,1,0,"
        Flyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        4:17
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Raoni Barcelos
            ","
              Said Nurmagomedov
            ",42,55,2,0,0,0,4,0,"
        Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Amanda Lemos
            ","
              Miranda Granger
            ",8,4,1,0,1,0,1,0,"
        Women's Strawweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        1
      ","

        
        3:43
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Heili Alateng
            ","
              Ryan Benoit
            ",47,68,4,0,0,0,0,0,"
        Bantamweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Aleksa Camur
            ","
              Justin Ledet
            ",80,44,1,0,0,0,0,0,"
        Light Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Sabina Mazo
            ","
              JJ Aldrich
            ",118,58,0,0,0,0,0,0,"
        Women's Flyweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Montel Jackson
            ","
              Felipe Colares
            ",75,7,11,1,0,3,3,1,"
        Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Sara McMann
            ","
              Lina Lansberg
            ",38,1,3,0,1,0,7,0,"
        Women's Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Brett Johns
            ","
              Tony Gravely
            ",36,26,6,5,3,0,4,2,"
        Bantamweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        3
      ","

        
        2:53
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Herbert Burns
            ","
              Nate Landwehr
            ",7,4,1,0,1,0,0,0,"
        Featherweight","
        
        

        KO/TKO

      ","
        Knee
      ","

        1
      ","

        
        2:43
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Journey Newson
            ","
              Domingo Pilarte
            ",6,1,0,0,0,0,0,0,"
        Bantamweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        0:38
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Andre Ewell
            ","
              Jonathan Martinez
            ",80,66,0,0,0,0,0,0,"
        Bantamweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Youssef Zalal
            ","
              Austin Lingo
            ",31,12,6,1,2,0,2,1,"
        Featherweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Scott Holtzman
            ","
              Jim Miller
            ",88,58,1,0,0,0,1,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Devin Clark
            ","
              Dequan Townsend
            ",39,6,3,0,0,0,3,0,"
        Light Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Merab Dvalishvili
            ","
              Casey Kenney
            ",63,45,12,0,0,0,3,0,"
        Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Macy Chiasson
            ","
              Shanna Young
            ",86,40,3,0,0,0,4,1,"
        Women's Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Raulian Paiva
            ","
              Mark De La Rosa
            ",54,45,0,0,0,0,0,0,"
        Flyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        2
      ","

        
        4:42
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Jalin Turner
            ","
              Josh Culibao
            ",55,12,0,0,3,0,4,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        2
      ","

        
        3:01
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Jake Matthews
            ","
              Emil Meek
            ",33,50,4,0,0,0,3,0,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Kenan Song
            ","
              Callan Potter
            ",17,7,0,1,0,0,0,1,"
        Welterweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        2:20
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Kai Kara-France
            ","
              Tyson Nam
            ",78,50,0,0,0,0,0,0,"
        Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Angela Hill
            ","
              Loma Lookboonmee
            ",48,53,1,1,1,0,1,0,"
        Women's Strawweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Priscila Cachoeira
            ","
              Shana Dobson
            ",8,5,0,0,0,0,0,0,"
        Women's Flyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        0:40
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Luis Pena
            ","
              Steve Garcia
            ",27,21,0,1,1,1,3,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Jordan Griffin
            ","
              TJ Brown
            ",15,32,0,7,3,0,0,4,"
        Featherweight","
        
        

        SUB

      ","
        Guillotine Choke
      ","

        2
      ","

        
        3:38
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Spike Carlyle
            ","
              Aalon Cruz
            ",20,2,0,0,0,0,1,0,"
        Featherweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        1:25
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Sean Brady
            ","
              Ismail Naurdiev
            ",47,37,4,0,1,0,6,0,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Gerald Meerschaert
            ","
              Deron Winn
            ",86,53,1,1,1,0,1,0,"
        Middleweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        3
      ","

        
        2:13
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Giga Chikadze
            ","
              Jamall Emmers
            ",38,54,0,2,0,0,0,1,"
        Featherweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Danaa Batgerel
            ","
              Guido Cannetti
            ",17,11,0,0,0,0,0,0,"
        Bantamweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        3:01
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Amanda Ribas
            ","
              Randa Markos
            ",85,36,1,1,2,0,4,0,"
        Women's Strawweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Elizeu Zaleski dos Santos
            ","
              Aleksei Kunchenko
            ",62,57,2,0,0,0,0,0,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Rani Yahya
            ","
              Enrique Barzola
            ",24,57,2,1,0,1,3,5,"
        Bantamweight","
        
        

        M-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Maryna Moroz
            ","
              Mayra Bueno Silva
            ",139,88,2,0,0,0,1,0,"
        Women's Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              David Dvorak
            ","
              Bruno Silva
            ",67,45,0,3,0,0,1,2,"
        Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Khama Worthy
            ","
              Devonte Smith
            ",21,15,0,0,0,0,0,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        4:15
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Cory Sandhagen
            ","
              Raphael Assuncao
            ",62,45,0,4,0,0,0,0,"
        Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Drakkar Klose
            ","
              Christos Giagos
            ",99,87,2,2,0,1,2,2,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Casey Kenney
            ","
              Manny Bermudez
            ",43,37,2,3,1,0,7,6,"
        Catch Weight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Hannah Cifers
            ","
              Jodie Esquibel
            ",70,43,1,3,1,0,0,0,"
        Women's Strawweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Kyung Ho Kang
            ","
              Brandon Davis
            ",50,77,3,1,0,0,3,0,"
        Bantamweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Sabina Mazo
            ","
              Shana Dobson
            ",108,33,4,0,0,0,3,0,"
        Women's Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Kai Kara-France
            ","
              Mark De La Rosa
            ",91,60,1,1,0,0,0,0,"
        Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Kenan Song
            ","
              Derrick Krantz
            ",58,33,0,3,0,1,0,3,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Mizuki Inoue
            ","
              Yanan Wu
            ",93,123,0,0,0,0,0,0,"
        Women's Flyweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Anthony Hernandez
            ","
              Junyong Park
            ",59,81,6,0,1,0,1,0,"
        Middleweight","
        
        

        SUB

      ","
        Anaconda Choke
      ","

        2
      ","

        
        4:39
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Sarah Moras
            ","
              Liana Jojua
            ",44,19,0,2,1,0,1,0,"
        Women's Bantamweight","
        
        

        KO/TKO

      ","
        Elbows
      ","

        3
      ","

        
        2:26
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Ottman Azaitar
            ","
              Teemu Packalen
            ",27,8,0,0,0,0,0,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        3:33
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Belal Muhammad
            ","
              Takashi Sato
            ",49,29,2,1,1,0,2,1,"
        Welterweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        3
      ","

        
        1:55
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Muslim Salikhov
            ","
              Nordine Taleb
            ",10,6,0,0,0,0,0,0,"
        Welterweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        4:26
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Omari Akhmedov
            ","
              Zak Cummings
            ",26,17,2,0,0,0,3,0,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Don Madge
            ","
              Fares Ziam
            ",21,10,3,0,0,0,2,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Miles Johns
            ","
              Cole Smith
            ",31,11,1,1,0,0,2,2,"
        Bantamweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Hunter Azure
            ","
              Brad Katona
            ",41,21,0,3,0,0,1,1,"
        Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Chas Skelly
            ","
              Jordan Griffin
            ",21,37,1,1,3,2,3,3,"
        Featherweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Louis Smolka
            ","
              Ryan MacDonald
            ",59,30,0,0,0,0,0,0,"
        Bantamweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        4:43
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Kyle Nelson
            ","
              Polo Reyes
            ",12,6,0,0,0,0,0,0,"
        Featherweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        1:36
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Angela Hill
            ","
              Ariane Carnelossi
            ",92,72,0,0,0,0,0,0,"
        Women's Strawweight","
        
        

        KO/TKO

      ","
        Elbow
      ","

        3
      ","

        
        1:56
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Sergio Pettis
            ","
              Tyson Nam
            ",96,40,0,0,0,0,0,0,"
        Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Paul Craig
            ","
              Vinicius Moreira
            ",18,1,1,0,1,0,1,0,"
        Light Heavyweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        1
      ","

        
        3:19
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Bethe Correia
            ","
              Sijara Eubanks
            ",59,77,0,1,0,0,0,1,"
        Women's Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Claudio Puelles
            ","
              Marcos Mariano
            ",22,2,4,0,2,0,7,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Ismail Naurdiev
            ","
              Siyar Bahadurzada
            ",69,12,3,0,0,0,3,0,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Giga Chikadze
            ","
              Brandon Davis
            ",59,34,1,3,0,0,1,4,"
        Featherweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Lina Lansberg
            ","
              Macy Chiasson
            ",21,26,2,0,0,0,3,0,"
        Women's Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Marc Diakiese
            ","
              Lando Vannata
            ",40,25,4,0,0,0,1,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Jessica Eye
            ","
              Viviane Araujo
            ",98,56,0,2,0,0,0,2,"
        Women's Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Punahele Soriano
            ","
              Oskar Piechota
            ",26,8,1,0,0,0,2,0,"
        Middleweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        3:17
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Bea Malecki
            ","
              Veronica Macedo
            ",130,93,0,0,0,0,2,0,"
        Women's Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Su Mudaerji
            ","
              Andre Soukhamthath
            ",93,23,1,0,0,0,3,0,"
        Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Da-Un Jung
            ","
              Khadis Ibragimov
            ",81,88,0,1,1,0,0,1,"
        Light Heavyweight","
        
        

        SUB

      ","
        Guillotine Choke
      ","

        3
      ","

        
        1:59
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Damir Ismagulov
            ","
              Thiago Moises
            ",71,36,0,0,0,0,0,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Heili Alateng
            ","
              Danaa Batgerel
            ",36,85,3,0,0,0,2,0,"
        Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Karol Rosa
            ","
              Lara Procopio
            ",171,165,0,0,0,0,0,0,"
        Women's Bantamweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Austin Hubbard
            ","
              Kyle Prepolec
            ",51,44,3,0,0,0,4,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ",Scrapy/1.6.0 (+https://scrapy.org)
"
              Jack Shore
            ","
              Nohelin Hernandez
            ",46,6,4,0,1,0,11,0,"
        Bantamweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        3
      ","

        
        2:51
      ",Scrapy/1.6.0 (+https://scrapy.org)
